GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ats,org.example.Main,Parser,347,0,25,0,81,0,23,0,7,0
ats,org.example.Main,CasaExceptionFornecedorNaoExiste,4,0,0,0,2,0,1,0,1,0
ats,org.example.Main,CasaExceptionNifExistente,4,0,0,0,2,0,1,0,1,0
ats,org.example.Main,Controller,214,0,16,0,47,0,27,0,19,0
ats,org.example.Main,EmpresaComNomeJaExistenteException,4,0,0,0,2,0,1,0,1,0
ats,org.example.Main,Main,916,0,18,0,233,0,28,0,19,0
ats,org.example.Main,DispositivoExisteNaDivisaoException,4,0,0,0,2,0,1,0,1,0
ats,org.example.Main,NewMenu,179,0,16,0,44,0,19,0,11,0
ats,org.example.Main,DataNaoValidaException,4,0,0,0,2,0,1,0,1,0
ats,org.example.Fornecedor,Fornecedor,115,189,15,5,21,51,11,18,3,16
ats,org.example.Fornecedor,FornecedorComNomeJaExistenteException,4,0,0,0,2,0,1,0,1,0
ats,org.example.Fornecedor,FornecedorTipo1,35,19,2,0,5,7,3,4,2,4
ats,org.example.Fornecedor,FornecedorTipo2,19,19,0,0,3,7,2,4,2,4
ats,org.example.Sistema,Sistema,620,0,42,0,134,0,56,0,35,0
ats,org.example.SmartDevice,SmartBulb,30,117,5,9,2,30,6,13,1,11
ats,org.example.SmartDevice,SmartSpeaker,45,141,8,16,2,36,9,16,1,12
ats,org.example.SmartDevice,SmartDevice,34,83,3,7,5,26,5,11,2,9
ats,org.example.SmartDevice,SmartCamera,44,97,8,4,4,27,8,10,2,10
ats,org.example.Fatura,Fatura,33,146,6,12,1,41,7,17,1,14
ats,org.example.CasaInteligente,CasaExceptionNifExistente,4,0,0,0,2,0,1,0,1,0
ats,org.example.CasaInteligente,DivisaoJaExisteException,4,0,0,0,2,0,1,0,1,0
ats,org.example.CasaInteligente,CasaInteligente,218,205,23,9,41,49,24,20,12,16
